sigla,cidade,pontuacao
SSPG,PARANAGUÁ,0.15121546035406933
SSKM,CAMPO MOURÃO,0.151015581951333
SJVO,ARAGARÇAS,0.15095648895705835
SNSW,SOURE,0.15089813707377292
SBGU,GUARAPUAVA,0.1508731393607377
SNBU,BRUMADO,0.15065149325424443
SBBI,CURITIBA,0.15058938614550932
SJGU,ARAGUATINS,0.15051510895298179
SNMH,PIRENÓPOLIS,0.15050481360307233
SIXE,ELDORADO DO SUL,0.15050275002918168
SDAM,CAMPINAS,0.15044894825388158
SWNK,BOCA DO ACRE,0.15044292558797562
SILC,LUCAS DO RIO VERDE,0.15028643092115318
SSIJ,IJUÍ,0.1502707115517069
SJLM,PACAIMA,0.15022227317272155
SJLU,CARACARAÍ,0.15022227317272155
SBAN,ANÁPOLIS,0.15019114854184182
SBTV,PORTO SEGURO,0.1501890836558573
SNUB,UBÁ,0.1501632980089824
SWKN,CALDAS NOVAS,0.15015374847274648
SWKC,CÁCERES,0.15013999861649546
SJUQ,TRÊS LAGOAS,0.15011113658636074
SWJQ,SELVÍRIA,0.15011113658636074
SNPP,MORRO DE SÃO PAULO,0.15010627654991995
SWWA,PORANGATU,0.15010627654991995
SNEB,PARAGOMINAS,0.15010566318298402
SBMN,MANAUS,0.1501029810647595
SBBZ,ARMAÇÃO DE BÚZIOS,0.15009949917167092
SJCW,URUCARÁ,0.15008180342305197
SWPC,SÃO GABRIEL DA CACHOEIRA,0.15008180342305197
SWCB,CAMPOS BELOS,0.15007425581456751
SBBU,BAURU,0.15007290995471154
SBBT,BARRETOS,0.1500680183352728
SBOI,OIAPOQUE,0.15006731750782765
SBYS,PIRASSUNUNGA,0.15006188029313713
SSSC,SANTA CRUZ DO SUL,0.15005800961845064
SNAV,JUAZEIRO,0.15005582363179432
SDUB,UBATUBA,0.15005313827496
SWBI,BARREIRINHA,0.150040901711526
SNFE,ALFENAS,0.15004082450224557
SNYB,ITUIUTABA,0.15003930182314487
SIRI,Maraú,0.1500372157551013
SNCI,CAPANEMA,0.1500372157551013
SDAG,ANGRA DOS REIS,0.15003343902918406
SBAG,ANGRA DOS REIS,0.15003343902918406
SBCI,CAROLINA,0.15002656913748
SNAP,JANAÚBA,0.15002656913748
SNXL,QUERÊNCIA,0.15002656913748
SWNS,ANÁPOLIS,0.15002656913748
SNPY,SÃO SEBASTIÃO DO PARAÍSO,0.15002053441059932
SBCV,CARAVELAS,0.15002015549737918
SNIC,IRECÊ,0.15001860787755067
SNJB,JACOBINA,0.15001860787755067
SNKI,CACHOEIRO DE ITAPEMIRIM,0.15001860787755067
SNMJ,MARACÁS,0.15001860787755067
SNHS,SERRA TALHADA,0.15001680562145484
SNDR,TIMON,0.15001651395128165
SBCC,NOVO PROGRESSO,0.15000000000000002
SBCO,CANOAS,0.15000000000000002
SBEK,JACAREACANGA,0.15000000000000002
SBFC,FRANCA,0.15000000000000002
SBGM,GUAJARÁ-MIRIM,0.15000000000000002
SBGS,PONTA GROSSA,0.15000000000000002
SBIC,ITACOATIARA,0.15000000000000002
SBIT,Itumbiara,0.15000000000000002
SBJC,BELÉM,0.15000000000000002
SBLN,LINS,0.15000000000000002
SBMH,MARINGÁ,0.15000000000000002
SBMT,SÃO PAULO,0.15000000000000002
SBPM,PALMAS,0.15000000000000002
SBPP,PONTA PORÃ,0.15000000000000002
SBSC,RIO DE JANEIRO,0.15000000000000002
SBST,SANTOS,0.15000000000000002
SBTK,TARAUACÁ,0.15000000000000002
SBTL,TELÊMACO BORBA,0.15000000000000002
SBTS,ÓBIDOS,0.15000000000000002
SBYA,SÃO GABRIEL DA CACHOEIRA,0.15000000000000002
SDAA,ARARAS,0.15000000000000002
SDBB,BEBEDOURO,0.15000000000000002
SDBK,BOTUCATU,0.15000000000000002
SDFR,CABO FRIO,0.15000000000000002
SDLK,CACULÉ,0.15000000000000002
SDLU,BARRA BONITA,0.15000000000000002
SDOU,OURINHOS,0.15000000000000002
SDPA,MANGARATIBA,0.15000000000000002
SDUN,ITAPERUNA,0.15000000000000002
SDVE,VERA CRUZ,0.15000000000000002
SDVG,VOTUPORANGA,0.15000000000000002
SIBU,CATOLÉ DO ROCHA,0.15000000000000002
SIFV,ARACRUZ,0.15000000000000002
SIGP,GAVIÃO PEIXOTO,0.15000000000000002
SIKC,COLÍDER,0.15000000000000002
SILJ,LARANJAL DO JARI,0.15000000000000002
SIQE,BRASÍLIA,0.15000000000000002
SISO,CHAVES,0.15000000000000002
SJDB,BONITO,0.15000000000000002
SJKB,COTRIGUAÇU,0.15000000000000002
SJNP,NOVO PROGRESSO,0.15000000000000002
SJQP,COCALINHO,0.15000000000000002
SJTS,TERRA SANTA,0.15000000000000002
SJUR,PORTO SEGURO,0.15000000000000002
SNAB,ARARIPINA,0.15000000000000002
SNAH,ADUSTINA,0.15000000000000002
SNAT,ARACATI,0.15000000000000002
SNBI,BACABAL,0.15000000000000002
SNBS,BALSAS,0.15000000000000002
SNBV,IPIXUNA DO PARÁ,0.15000000000000002
SNBW,BAIÃO,0.15000000000000002
SNBX,BARRA,0.15000000000000002
SNCB,IPIXUNA DO PARÁ,0.15000000000000002
SNDB,RURÓPOLIS,0.15000000000000002
SNDH,BARREIRAS,0.15000000000000002
SNDM,LENÇÓIS,0.15000000000000002
SNGV,GOVERNADOR VALADARES,0.15000000000000002
SNIG,IGUATU,0.15000000000000002
SNJD,FEIRA DE SANTANA,0.15000000000000002
SNJK,JEQUIÉ,0.15000000000000002
SNKK,CAICÓ,0.15000000000000002
SNLA,PARAUAPEBAS,0.15000000000000002
SNMA,MONTE ALEGRE,0.15000000000000002
SNMD,ITAITUBA,0.15000000000000002
SNMK,JAÍBA,0.15000000000000002
SNML,RIO LARGO,0.15000000000000002
SNMU,MUCURI,0.15000000000000002
SNMX,SÃO MATEUS,0.15000000000000002
SNNC,IPIXUNA DO PARÁ,0.15000000000000002
SNNG,NOVO PROGRESSO,0.15000000000000002
SNOB,SOBRAL,0.15000000000000002
SNPC,PICOS,0.15000000000000002
SNPG,PORTO GRANDE,0.15000000000000002
SNPV,BARCARENA,0.15000000000000002
SNQD,SOUSA,0.15000000000000002
SNQG,FLORIANO,0.15000000000000002
SNQW,JACAREACANGA,0.15000000000000002
SNQY,JUAZEIRO DO NORTE,0.15000000000000002
SNRB,ITAITUBA,0.15000000000000002
SNSH,SANTARÉM,0.15000000000000002
SNSM,SALINÓPOLIS,0.15000000000000002
SNTI,ÓBIDOS,0.15000000000000002
SNTP,TAILÂNDIA,0.15000000000000002
SNTS,PATOS,0.15000000000000002
SNUC,AÇU,0.15000000000000002
SNUO,ULIANÓPOLIS,0.15000000000000002
SNVR,VERA CRUZ,0.15000000000000002
SNVV,VALENTE,0.15000000000000002
SNWR,SENADOR JOSÉ PORFÍRIO,0.15000000000000002
SNXW,CHAVES,0.15000000000000002
SNYV,MOJU,0.15000000000000002
SSAC,SORRISO,0.15000000000000002
SSBB,BODOQUENA,0.15000000000000002
SSBG,BENTO GONÇALVES,0.15000000000000002
SSBN,PORTO ALEGRE,0.15000000000000002
SSCC,CAÇADOR,0.15000000000000002
SSCN,CANELA,0.15000000000000002
